url	gids	local_count	count
vk.com/id50878707	Arduino_2, Arduino_, Arduino_1	4	3
vk.com/id37064718	Робототехника_микроконтроллеры_AVR_Arduino	11	1
vk.com/id160031629	Arduino_	4	1
vk.com/id1992861	Arduino_2, Arduino_1	3	2
vk.com/id292435934	Все_об_Ардуино, Arduino_1	3	2
vk.com/id63366431	LabRazum	7	1
vk.com/id17402489	Робототехника_микроконтроллеры_AVR_Arduino	3	1
vk.com/id178383030	Arduino_	7	1
vk.com/id19363442	Занимательная_робототехника	5	1
vk.com/id439331274	Arduino_	3	1
vk.com/id11781196	Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры	3	2
vk.com/id232672386	Микроконтроллеры_и_технологии	3	1
vk.com/id162246657	Все_об_Ардуино	4	1
vk.com/id11543315	Arduino_	5	1
vk.com/id596323	ЦМИТы_и_фаблабы_России	3	1
vk.com/id208241215	Пермский_makerspace, Neuron_Hackspace, Объединение_Олимп, ЦМИТы_и_фаблабы_России, Искусственный_интеллект_и_робототехника, Arduino_2, LabRazum, Все_об_Ардуино, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника, Союз_радиолюбителей_России, Радиоэлектроника, Микроконтроллеры_и_технологии, Отечественные_микроконтроллеры_и_компоненты, Микроконтроллеры_и_электроника_mkprog.ru, Микроконтроллеры, Vt_tech, Микроконтроллеры_STM32, AVR_ARM_микроконтроллеры, ChipEnable, Клуб_любителей_ATmega8, MEGA_AVR_Микроконтроллеры_это_просто, Сообщество_программистов_микроконтроллеров, Микроконтроллер_, Программирование_Микроконтроллеров, Программирование_Миландр, Разработка_PCB, Tixer.ru	9	28
vk.com/id39340730	Занимательная_робототехника	7	1
vk.com/id129118574	Arduino_	5	1
vk.com/id181192839	Робототехника_микроконтроллеры_AVR_Arduino, ChipEnable	17	2
vk.com/id14280007	LabRazum, Все_об_Ардуино, Технарю_с_AliExpress	3	3
vk.com/id263486672	Arduino_	3	1
vk.com/id25807824	Arduino_, Робототехника_микроконтроллеры_AVR_Arduino	3	2
vk.com/id94142883	Занимательная_робототехника	7	1
vk.com/id135919897	Arduino_	8	1
vk.com/id142278422	Микроконтроллеры, Радиодетали_инструменты_оборудование_из_Китая	3	2
vk.com/id94073898	Микроконтроллеры	7	1
vk.com/id17176689	Neuron_Hackspace	6	1
vk.com/id71079139	Neuron_Hackspace, Объединение_Олимп	3	2
vk.com/id10332217	Vt_tech, Сообщество_программистов_микроконтроллеров, Программирование_Микроконтроллеров, Программирование_Миландр	7	4
vk.com/id17455416	Arduino_1	18	1
vk.com/id139094199	Arduino_	4	1
vk.com/id93697117	Фестиваль_Rukami, Arduino_, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры_STM32	3	4
vk.com/id283448914	Arduino_	6	1
vk.com/id395290360	Занимательная_робототехника	3	1
vk.com/id208369446	Arduino_	7	1
vk.com/id27442802	Робототехника_микроконтроллеры_AVR_Arduino, Отечественные_микроконтроллеры_и_компоненты, Микроконтроллеры, AVR_ARM_микроконтроллеры	3	4
vk.com/id9793834	Neuron_Hackspace	83	1
vk.com/id9414305	Занимательная_робототехника	9	1
vk.com/id45161540	ЦМИТы_и_фаблабы_России	34	1
vk.com/id104984475	Все_об_Ардуино, Arduino_, Arduino_1	3	3
vk.com/id119583068	ЦМИТы_и_фаблабы_России	8	1
vk.com/id255363680	Фестиваль_Rukami, Arduino_	4	2
vk.com/id536464181	Сообщество_программистов_микроконтроллеров	8	1
vk.com/id9463069	Arduino_1	20	1
vk.com/id17702240	Neuron_Hackspace, Робототехника_микроконтроллеры_AVR_Arduino	3	2
vk.com/id133071790	Все_об_Ардуино, Arduino_, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника	20	4
vk.com/id76989156	Все_об_Ардуино	20	1
vk.com/id317528696	Технарю_с_AliExpress	6	1
vk.com/id210783205	Arduino_	3	1
vk.com/id158552123	Tixer.ru	3	1
vk.com/id161430220	Arduino_, Микроконтроллеры, Клуб_любителей_ATmega8, Разработка_PCB	4	4
vk.com/id312507643	ЦМИТы_и_фаблабы_России	3	1
vk.com/id8160236	Искусственный_интеллект_и_робототехника	5	1
vk.com/id19314873	Arduino_2, Arduino_1	6	2
vk.com/id94793041	Занимательная_робототехника	10	1
vk.com/id136101130	Arduino_1	4	1
vk.com/id17202444	Neuron_Hackspace, Arduino_	3	2
vk.com/id59949877	Пермский_makerspace, Neuron_Hackspace, Фестиваль_Rukami, ЦМИТы_и_фаблабы_России, Искусственный_интеллект_и_робототехника, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника	84	9
vk.com/id511054673	Arduino_	3	1
vk.com/id5971924	Искусственный_интеллект_и_робототехника	6	1
vk.com/id34362269	Робототехника_микроконтроллеры_AVR_Arduino	4	1
vk.com/id4064665	Программирование_Миландр	5	1
vk.com/id456098638	Arduino_	6	1
vk.com/id90424797	Пермский_makerspace, Neuron_Hackspace, Объединение_Олимп, ЦМИТы_и_фаблабы_России, LabRazum, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника, Радиоэлектроника, Микроконтроллеры, ChipEnable, Разработка_PCB, Радиодетали_инструменты_оборудование_из_Китая	6	14
vk.com/id43923655	Arduino_1	17	1
vk.com/id152950421	Фестиваль_Rukami, Arduino_1	6	2
vk.com/id85102398	Arduino_, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника, Свободные_САПР	8	4
vk.com/id89331305	Neuron_Hackspace	3	1
vk.com/id538025119	Arduino_	3	1
vk.com/id225517874	Arduino_	9	1
vk.com/id464462398	Arduino_	8	1
vk.com/id325683222	Технарю_с_AliExpress	93	1
vk.com/id6908241	Arduino_, Робототехника_микроконтроллеры_AVR_Arduino, AVR_ARM_микроконтроллеры, Микроконтроллер_	4	4
vk.com/id3861744	Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino	3	2
vk.com/id157920512	Arduino_, Разработка_PCB, Технарю_с_AliExpress	3	3
vk.com/id1990305	Робототехника_микроконтроллеры_AVR_Arduino	6	1
vk.com/id35606224	Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры, AVR_ARM_микроконтроллеры, Технарю_с_AliExpress	5	6
vk.com/id8680371	Arduino_	15	1
vk.com/id484162470	Робототехника_микроконтроллеры_AVR_Arduino, Технарю_с_AliExpress	4	2
vk.com/id60058757	Neuron_Hackspace	6	1
vk.com/id78986025	Arduino_1	7	1
vk.com/id32597174	Объединение_Олимп	6	1
vk.com/id195237473	Arduino_1, Занимательная_робототехника	4	2
vk.com/id4021592	Arduino_2, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino	8	4
vk.com/id5125441	Занимательная_робототехника	4	1
vk.com/id23849711	Arduino_, Робототехника_микроконтроллеры_AVR_Arduino, Союз_радиолюбителей_России	3	3
vk.com/id190772521	Технарю_с_AliExpress	4	1
vk.com/id5844568	Объединение_Олимп	4	1
vk.com/id31979049	Микроконтроллеры	14	1
vk.com/id333848461	LabRazum	3	1
vk.com/id57807080	Neuron_Hackspace, Занимательная_робототехника, Отечественные_микроконтроллеры_и_компоненты	4	3
vk.com/id104220775	Микроконтроллеры	3	1
vk.com/id348115645	Робототехника_микроконтроллеры_AVR_Arduino, Разработка_PCB	5	2
vk.com/id23935828	Arduino_	6	1
vk.com/id180459143	Arduino_1	11	1
vk.com/id54932790	Фестиваль_Rukami	4	1
vk.com/id10063679	Neuron_Hackspace	24	1
vk.com/id191889005	Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino	5	3
vk.com/id571821857	Arduino_2, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino	3	3
vk.com/id908270	Объединение_Олимп, ЦМИТы_и_фаблабы_России	38	2
vk.com/id16010007	Arduino_	6	1
vk.com/id23829279	Микроконтроллеры_и_технологии	4	1
vk.com/id168590834	Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника	58	2
vk.com/id11796931	Робототехника_микроконтроллеры_AVR_Arduino	4	1
vk.com/id133735317	Микроконтроллеры_STM32, Программирование_Миландр	8	2
vk.com/id29900545	Arduino_1	15	1
vk.com/id339818625	Робототехника_микроконтроллеры_AVR_Arduino	3	1
vk.com/id1936524	ЦМИТы_и_фаблабы_России	6	1
vk.com/id19928884	Занимательная_робототехника	3	1
vk.com/id6754916	Искусственный_интеллект_и_робототехника, Все_об_Ардуино, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino	4	5
vk.com/id247577438	Arduino_1	4	1
vk.com/id92801784	ChipEnable	7	1
vk.com/id16657666	ЦМИТы_и_фаблабы_России, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino	8	3
vk.com/id353830463	Сообщество_программистов_микроконтроллеров	4	1
vk.com/id314176452	Объединение_Олимп, РобоСпорт_в_МФТИ, Robotics_Artificial_Intelligence_Camp, Arduino_2, LabRazum, Все_об_Ардуино, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника, Микроконтроллеры_и_технологии, Отечественные_микроконтроллеры_и_компоненты, Микроконтроллеры_и_электроника_mkprog.ru, Микроконтроллеры, Vt_tech, Микроконтроллеры_STM32, AVR_ARM_микроконтроллеры, ChipEnable, MEGA_AVR_Микроконтроллеры_это_просто, Микроконтроллер_, Программирование_Миландр, Разработка_PCB, Tixer.ru	7	23
vk.com/id276497653	Arduino_1	6	1
vk.com/id206053590	Arduino_	34	1
vk.com/id28776350	ChipEnable	4	1
vk.com/id196221530	Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры_и_технологии, Отечественные_микроконтроллеры_и_компоненты, Микроконтроллеры, Tixer.ru	4	7
vk.com/id142860730	ЦМИТы_и_фаблабы_России	4	1
vk.com/id132215997	Arduino_	3	1
vk.com/id92805822	Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры	3	2
vk.com/id266824130	Все_об_Ардуино, Arduino_, Союз_радиолюбителей_России	3	3
vk.com/id355438082	Arduino_2, Все_об_Ардуино, Arduino_, Arduino_1, Технарю_с_AliExpress	7	5
vk.com/id1513810	Клуб_любителей_ATmega8	7	1
vk.com/id162827857	Arduino_2, Arduino_, Arduino_1	6	3
vk.com/id252541761	Neuron_Hackspace	3	1
vk.com/id425257304	Технарю_с_AliExpress	3	1
vk.com/id165617689	Микроконтроллеры_и_технологии, Микроконтроллеры	3	2
vk.com/id140326223	Arduino_1	3	1
vk.com/id20351471	Robotics_Artificial_Intelligence_Camp, Робототехника_микроконтроллеры_AVR_Arduino	3	2
